Tid (s),Ackumulerad energi (J)
14.756,0.72588409
14.757,0.72593674
14.758,0.72598977
14.759,0.72604136
14.760,0.72609243
14.761,0.72614252
14.762,0.72619333
14.763,0.72624197
14.764,0.72629375
14.765,0.72634499
14.766,0.72639572
14.767,0.72644672
14.768,0.72649906
14.769,0.72654959
14.770,0.72659955
14.771,0.72665133
14.772,0.72670219
14.773,0.72675191
14.774,0.72680379
14.775,0.72685499
14.776,0.72690602
14.777,0.72695574
14.778,0.72700707
14.779,0.72705826
14.780,0.72710918
14.781,0.72716206
14.782,0.72721375
14.783,0.72726223
14.784,0.72731318
14.785,0.72736447
14.786,0.72741602
14.787,0.72746699
14.788,0.72751732
14.789,0.72756774
14.790,0.72761893
14.791,0.72767128
14.792,0.72772166
14.793,0.72777254
14.794,0.72782261
14.795,0.72787529
14.796,0.72792719
14.797,0.72797938
14.798,0.72802981
14.799,0.72808081
14.800,0.72813081
14.801,0.72818234
14.802,0.72823216
14.803,0.72828348
14.804,0.72833458
14.805,0.72838587
14.806,0.72843747
14.807,0.72848853
14.808,0.72854020
14.809,0.72859290
14.810,0.72864518
14.811,0.72869765
14.812,0.72875032
14.813,0.72880202
14.814,0.72885282
14.815,0.72890285
14.816,0.72895272
14.817,0.72900409
14.818,0.72905485
14.819,0.72910653
14.820,0.72915665
14.821,0.72920637
14.822,0.72925831
14.823,0.72930996
14.824,0.72936018
14.825,0.72941178
14.826,0.72946245
14.827,0.72951342
14.828,0.72956454
14.829,0.72961556
14.830,0.72966589
14.831,0.72971652
14.832,0.72976588
14.833,0.72981669
14.834,0.72986812
14.835,0.72991921
14.836,0.72997012
14.837,0.73002112
14.838,0.73007147
14.839,0.73012018
14.840,0.73017201
14.841,0.73022206
14.842,0.73027346
14.843,0.73032714
14.844,0.73037734
14.845,0.73042896
14.846,0.73048077
14.847,0.73053034
14.848,0.73058272
14.849,0.73063327
14.850,0.73068409
14.851,0.73073544
14.852,0.73078764
14.853,0.73083919
14.854,0.73089078
14.855,0.73094116
14.856,0.73099092
14.857,0.73104201
14.858,0.73109207
14.859,0.73114394
14.860,0.73119659
14.861,0.73124805
14.862,0.73129846
14.863,0.73134929
14.864,0.73140063
14.865,0.73145058
14.866,0.73149981
14.867,0.73154997
14.868,0.73160213
14.869,0.73165190
14.870,0.73170440
14.871,0.73175475
14.872,0.73180761
14.873,0.73185952
14.874,0.73190942
14.875,0.73196123
14.876,0.73201181
14.877,0.73206425
14.878,0.73211429
14.879,0.73216689
14.880,0.73221843
14.881,0.73226994
14.882,0.73232073
14.883,0.73237349
14.884,0.73242396
14.885,0.73247555
14.886,0.73252501
14.887,0.73257764
14.888,0.73262965
14.889,0.73268053
14.890,0.73273081
14.891,0.73278097
14.892,0.73283350
14.893,0.73288343
14.894,0.73293528
14.895,0.73298706
14.896,0.73303775
14.897,0.73308750
14.898,0.73313727
14.899,0.73319008
14.900,0.73324225
14.901,0.73329259
14.902,0.73334415
14.903,0.73339581
14.904,0.73344828
14.905,0.73349916
14.906,0.73354930
14.907,0.73360063
14.908,0.73365238
14.909,0.73370331
14.910,0.73375256
14.911,0.73380172
14.912,0.73385284
14.913,0.73390325
14.914,0.73395461
14.915,0.73400689
14.916,0.73405633
14.917,0.73410684
14.918,0.73415878
14.919,0.73420975
14.920,0.73426028
14.921,0.73431035
14.922,0.73436234
14.923,0.73441404
14.924,0.73446481
14.925,0.73451508
14.926,0.73456503
14.927,0.73461689
14.928,0.73466823
14.929,0.73471812
14.930,0.73476846
14.931,0.73481945
14.932,0.73487124
14.933,0.73492148
14.934,0.73497025
14.935,0.73502156
14.936,0.73507304
14.937,0.73512357
14.938,0.73517583
14.939,0.73522579
14.940,0.73527918
14.941,0.73532893
14.942,0.73537860
14.943,0.73542991
14.944,0.73548025
14.945,0.73552994
14.946,0.73558199
14.947,0.73563221
14.948,0.73568268
14.949,0.73573417
14.950,0.73578610
14.951,0.73583832
14.952,0.73588763
14.953,0.73593855
14.954,0.73598828
14.955,0.73603909
14.956,0.73609001
14.957,0.73614090
14.958,0.73619167
14.959,0.73624163
14.960,0.73629257
14.961,0.73634228
14.962,0.73639281
14.963,0.73644435
14.964,0.73649475
14.965,0.73654379
14.966,0.73659373
14.967,0.73664487
14.968,0.73669644
14.969,0.73674627
14.970,0.73679854
14.971,0.73684913
14.972,0.73689997
14.973,0.73695181
14.974,0.73700372
14.975,0.73705491
14.976,0.73710513
14.977,0.73715486
14.978,0.73720441
14.979,0.73725614
14.980,0.73730907
14.981,0.73736020
14.982,0.73741336
14.983,0.73746488
14.984,0.73751508
14.985,0.73756484
14.986,0.73761508
14.987,0.73766693
14.988,0.73771825
14.989,0.73776981
14.990,0.73781956
14.991,0.73786834
14.992,0.73791967
14.993,0.73797074
14.994,0.73802124
14.995,0.73807392
14.996,0.73812399
14.997,0.73817392
14.998,0.73822303
14.999,0.73827397
15.000,0.73832313
15.001,0.73837385
15.002,0.73842435
15.003,0.73847422
15.004,0.73852405
15.005,0.73857595
15.006,0.73862642
15.007,0.73867766
15.008,0.73872778
15.009,0.73877891
15.010,0.73883090
15.011,0.73888063
15.012,0.73892989
15.013,0.73898122
15.014,0.73903126
15.015,0.73908320
15.016,0.73913304
15.017,0.73918517
15.018,0.73923822
15.019,0.73928962
15.020,0.73934160
15.021,0.73939261
15.022,0.73944296
15.023,0.73949458
15.024,0.73954564
15.025,0.73959547
15.026,0.73964579
15.027,0.73969680
15.028,0.73974786
15.029,0.73979812
15.030,0.73984937
15.031,0.73989762
15.032,0.73994930
15.033,0.74000028
15.034,0.74005284
15.035,0.74010437
15.036,0.74015561
15.037,0.74020706
15.038,0.74025692
15.039,0.74030713
15.040,0.74035755
15.041,0.74040914
15.042,0.74045937
15.043,0.74050964
15.044,0.74056033
15.045,0.74061132
15.046,0.74066234
15.047,0.74071372
15.048,0.74076469
15.049,0.74081653
15.050,0.74086842
15.051,0.74091950
15.052,0.74097140
15.053,0.74102313
15.054,0.74107484
15.055,0.74112632
15.056,0.74117943
15.057,0.74123133
15.058,0.74128335
15.059,0.74133436
15.060,0.74138522
15.061,0.74143662
15.062,0.74148959
15.063,0.74154102
15.064,0.74159186
15.065,0.74164149
15.066,0.74169160
15.067,0.74174328
15.068,0.74179310
15.069,0.74184537
15.070,0.74189525
15.071,0.74194628
15.072,0.74199691
15.073,0.74204973
15.074,0.74210134
15.075,0.74215121
15.076,0.74220302
15.077,0.74225218
15.078,0.74230513
15.079,0.74235429
15.080,0.74240634
15.081,0.74245700
15.082,0.74250817
15.083,0.74255800
15.084,0.74260720
15.085,0.74265754
15.086,0.74270780
15.087,0.74275954
15.088,0.74281163
15.089,0.74286110
15.090,0.74291164
15.091,0.74296233
15.092,0.74301277
15.093,0.74306136
15.094,0.74311324
15.095,0.74316477
15.096,0.74321636
15.097,0.74326690
15.098,0.74331724
15.099,0.74336977
15.100,0.74341894
15.101,0.74346921
15.102,0.74351925
15.103,0.74356921
15.104,0.74361984
15.105,0.74367052
15.106,0.74372196
15.107,0.74377350
15.108,0.74382575
15.109,0.74387783
15.110,0.74392881
15.111,0.74398042
15.112,0.74403031
15.113,0.74408105
15.114,0.74413243
15.115,0.74418352
15.116,0.74423336
15.117,0.74428468
15.118,0.74433620
15.119,0.74438582
15.120,0.74443579
15.121,0.74448759
15.122,0.74453792
15.123,0.74459011
15.124,0.74464003
15.125,0.74469044
15.126,0.74474110
15.127,0.74479362
15.128,0.74484331
15.129,0.74489258
15.130,0.74494520
15.131,0.74499455
15.132,0.74504646
15.133,0.74509748
15.134,0.74514784
15.135,0.74519811
15.136,0.74524948
15.137,0.74530086
15.138,0.74535235
15.139,0.74540313
15.140,0.74545403
15.141,0.74550458
15.142,0.74555560
15.143,0.74560765
15.144,0.74565988
15.145,0.74571224
15.146,0.74576387
15.147,0.74581340
15.148,0.74586376
15.149,0.74591610
15.150,0.74596796
15.151,0.74601866
15.152,0.74606933
15.153,0.74612011
15.154,0.74617088
15.155,0.74622175
15.156,0.74627450
15.157,0.74632598
15.158,0.74637759
15.159,0.74642753
15.160,0.74647787
15.161,0.74652883
15.162,0.74657703
15.163,0.74662670
15.164,0.74667773
15.165,0.74672797
15.166,0.74677924
15.167,0.74683110
15.168,0.74688347
15.169,0.74693474
15.170,0.74698585
15.171,0.74703724
15.172,0.74708788
15.173,0.74713933
15.174,0.74719031
15.175,0.74724233
15.176,0.74729172
15.177,0.74734236
15.178,0.74739406
15.179,0.74744537
15.180,0.74749726
15.181,0.74754856
15.182,0.74759906
15.183,0.74764937
15.184,0.74770051
15.185,0.74775325
15.186,0.74780364
15.187,0.74785336
15.188,0.74790693
15.189,0.74795860
15.190,0.74800798
15.191,0.74805981
15.192,0.74811016
15.193,0.74816101
15.194,0.74821224
15.195,0.74826337
15.196,0.74831306
15.197,0.74836330
15.198,0.74841432
15.199,0.74846628
15.200,0.74851580
15.201,0.74856719
15.202,0.74861786
15.203,0.74866775
15.204,0.74871787
15.205,0.74876742
15.206,0.74881829
15.207,0.74886840
15.208,0.74891833
15.209,0.74896763
15.210,0.74901834
15.211,0.74906791
15.212,0.74911976
15.213,0.74917029
15.214,0.74922109
15.215,0.74927203
15.216,0.74932295
15.217,0.74937469
15.218,0.74942578
15.219,0.74947582
15.220,0.74952620
15.221,0.74957880
15.222,0.74962889
15.223,0.74968119
15.224,0.74973168
15.225,0.74978326
15.226,0.74983442
15.227,0.74988630
15.228,0.74993715
15.229,0.74998704
15.230,0.75003792
15.231,0.75008860
15.232,0.75013912
15.233,0.75019101
15.234,0.75024231
15.235,0.75029218
15.236,0.75034403
15.237,0.75039510
15.238,0.75044478
15.239,0.75049622
15.240,0.75054322
15.241,0.75059040
15.242,0.75063468
15.243,0.75068309
15.244,0.75073091
15.245,0.75077784
15.246,0.75082528
15.247,0.75087302
15.248,0.75091880
15.249,0.75096682
15.250,0.75101304
15.251,0.75106000
15.252,0.75110595
15.253,0.75115275
15.254,0.75119976
15.255,0.75124680
15.256,0.75129380
15.257,0.75134079
15.258,0.75138917
15.259,0.75143720
15.260,0.75148284
15.261,0.75152894
15.262,0.75157565
15.263,0.75162312
15.264,0.75166949
15.265,0.75171520
15.266,0.75176062
15.267,0.75180712
15.268,0.75185414
15.269,0.75189897
15.270,0.75194597
15.271,0.75199303
15.272,0.75203928
15.273,0.75208472
15.274,0.75213098
15.275,0.75217784
15.276,0.75222553
15.277,0.75227257
15.278,0.75231956
15.279,0.75236637
15.280,0.75241395
15.281,0.75246316
15.282,0.75250965
15.283,0.75255684
15.284,0.75260345
15.285,0.75265054
15.286,0.75269695
15.287,0.75274439
15.288,0.75279128
15.289,0.75283774
15.290,0.75288616
15.291,0.75293174
15.292,0.75297791
15.293,0.75302498
15.294,0.75307249
15.295,0.75311792
15.296,0.75316558
15.297,0.75321283
15.298,0.75325822
15.299,0.75330496
15.300,0.75335240
15.301,0.75339892
15.302,0.75344657
15.303,0.75349378
15.304,0.75353902
15.305,0.75358524
15.306,0.75363162
15.307,0.75367912
15.308,0.75372404
15.309,0.75377148
15.310,0.75381813
15.311,0.75386629
15.312,0.75391386
15.313,0.75395858
15.314,0.75400683
15.315,0.75405364
15.316,0.75409952
15.317,0.75414707
15.318,0.75419421
15.319,0.75424034
15.320,0.75428808
15.321,0.75433555
15.322,0.75438266
15.323,0.75443063
15.324,0.75447751
15.325,0.75452383
15.326,0.75457082
15.327,0.75461793
15.328,0.75466619
15.329,0.75471364
15.330,0.75476059
15.331,0.75480681
15.332,0.75485314
15.333,0.75490013
15.334,0.75494706
15.335,0.75499362
15.336,0.75504030
15.337,0.75508851
15.338,0.75513553
15.339,0.75518226
15.340,0.75522923
15.341,0.75527763
15.342,0.75532359
15.343,0.75537045
15.344,0.75541804
15.345,0.75546667
15.346,0.75551415
15.347,0.75556228
15.348,0.75560924
15.349,0.75565351
15.350,0.75570234
15.351,0.75574873
15.352,0.75579602
15.353,0.75584230
15.354,0.75588800
15.355,0.75593597
15.356,0.75598293
15.357,0.75602989
15.358,0.75607417
15.359,0.75612076
15.360,0.75616851
15.361,0.75621553
15.362,0.75626090
15.363,0.75630864
15.364,0.75635626
15.365,0.75640162
15.366,0.75644845
15.367,0.75649630
15.368,0.75654447
15.369,0.75659091
15.370,0.75663713
15.371,0.75668590
15.372,0.75673207
15.373,0.75677859
15.374,0.75682573
15.375,0.75687333
15.376,0.75692036
15.377,0.75696683
15.378,0.75701316
15.379,0.75705972
15.380,0.75710781
15.381,0.75715508
15.382,0.75720143
15.383,0.75724665
15.384,0.75729349
15.385,0.75733966
15.386,0.75738663
15.387,0.75743600
15.388,0.75748445
15.389,0.75753206
15.390,0.75757973
15.391,0.75762649
15.392,0.75767325
15.393,0.75772057
15.394,0.75776742
15.395,0.75781429
15.396,0.75786114
15.397,0.75790946
15.398,0.75795626
15.399,0.75800389
15.400,0.75805199
15.401,0.75809767
15.402,0.75814373
15.403,0.75819077
15.404,0.75823763
15.405,0.75828276
15.406,0.75832723
15.407,0.75837505
15.408,0.75842226
15.409,0.75846867
15.410,0.75851587
15.411,0.75856090
15.412,0.75860775
15.413,0.75865748
15.414,0.75870466
15.415,0.75875080
15.416,0.75880003
15.417,0.75884734
15.418,0.75889405
15.419,0.75894030
15.420,0.75898749
15.421,0.75903370
15.422,0.75907974
15.423,0.75912602
15.424,0.75917141
15.425,0.75921821
15.426,0.75926488
15.427,0.75931177
15.428,0.75936073
15.429,0.75940743
15.430,0.75945605
15.431,0.75950414
15.432,0.75955108
15.433,0.75959704
15.434,0.75964458
15.435,0.75969270
15.436,0.75974002
15.437,0.75978802
15.438,0.75983483
15.439,0.75988430
15.440,0.75993123
15.441,0.75997805
15.442,0.76002378
15.443,0.76007146
15.444,0.76011925
15.445,0.76016646
15.446,0.76021330
15.447,0.76025971
15.448,0.76030603
15.449,0.76035244
15.450,0.76039937
15.451,0.76044548
15.452,0.76048962
15.453,0.76053794
15.454,0.76058604
15.455,0.76063566
15.456,0.76068241
15.457,0.76073004
15.458,0.76077754
15.459,0.76082427
15.460,0.76087229
15.461,0.76092096
15.462,0.76096903
15.463,0.76101578
15.464,0.76106273
15.465,0.76110915
15.466,0.76115553
15.467,0.76120138
15.468,0.76124925
15.469,0.76129595
15.470,0.76134376
15.471,0.76139142
15.472,0.76143631
15.473,0.76148272
15.474,0.76152906
15.475,0.76157536
15.476,0.76161989
15.477,0.76166622
15.478,0.76171176
15.479,0.76175798
15.480,0.76180544
15.481,0.76185258
15.482,0.76190070
15.483,0.76194622
15.484,0.76199356
15.485,0.76204034
15.486,0.76208730
15.487,0.76213491
15.488,0.76218348
15.489,0.76223012
15.490,0.76227648
15.491,0.76232335
15.492,0.76236939
15.493,0.76241465
15.494,0.76246253
15.495,0.76250912
15.496,0.76255569
15.497,0.76260255
15.498,0.76264803
15.499,0.76269587
15.500,0.76274323
15.501,0.76278990
15.502,0.76283655
15.503,0.76288378
15.504,0.76292993
15.505,0.76297690
15.506,0.76302486
15.507,0.76307059
15.508,0.76311797
15.509,0.76316558
15.510,0.76321147
15.511,0.76325792
15.512,0.76330401
15.513,0.76335182
15.514,0.76339876
15.515,0.76344592
15.516,0.76349430
15.517,0.76353968
15.518,0.76358587
15.519,0.76363369
15.520,0.76368028
15.521,0.76372758
15.522,0.76377407
15.523,0.76382286
15.524,0.76386903
15.525,0.76391668
15.526,0.76396476
15.527,0.76401179
15.528,0.76405957
15.529,0.76410753
15.530,0.76415671
15.531,0.76420504
15.532,0.76425300
15.533,0.76430060
15.534,0.76434757
15.535,0.76439605
15.536,0.76444296
15.537,0.76448987
15.538,0.76453968
15.539,0.76458593
15.540,0.76463195
15.541,0.76467985
15.542,0.76472759
15.543,0.76477406
15.544,0.76482068
15.545,0.76486760
15.546,0.76491519
15.547,0.76496538
15.548,0.76501180
15.549,0.76505857
15.550,0.76510547
15.551,0.76515213
15.552,0.76520051
15.553,0.76524701
15.554,0.76529427
15.555,0.76533999
15.556,0.76538639
15.557,0.76543399
15.558,0.76548419
15.559,0.76553112
15.560,0.76557743
15.561,0.76562481
15.562,0.76567169
15.563,0.76571862
15.564,0.76576577
15.565,0.76581219
15.566,0.76586019
15.567,0.76590755
15.568,0.76595611
15.569,0.76600183
15.570,0.76604957
15.571,0.76609577
15.572,0.76614276
15.573,0.76618883
15.574,0.76623673
15.575,0.76628306
15.576,0.76632993
15.577,0.76637844
15.578,0.76642571
15.579,0.76647399
15.580,0.76652140
15.581,0.76656803
15.582,0.76661558
15.583,0.76666282
15.584,0.76670801
15.585,0.76675346
15.586,0.76680058
15.587,0.76684823
15.588,0.76689424
15.589,0.76694299
15.590,0.76699102
15.591,0.76703910
15.592,0.76708658
15.593,0.76713473
15.594,0.76718274
15.595,0.76722942
15.596,0.76727626
15.597,0.76732392
15.598,0.76737130
15.599,0.76741813
15.600,0.76746545
15.601,0.76751225
15.602,0.76755828
15.603,0.76760498
15.604,0.76765526
15.605,0.76770352
15.606,0.76775162
15.607,0.76779800
15.608,0.76784489
15.609,0.76789246
15.610,0.76793929
15.611,0.76798565
15.612,0.76803165
15.613,0.76807811
15.614,0.76812509
15.615,0.76817053
15.616,0.76821786
15.617,0.76826493
15.618,0.76831112
15.619,0.76835807
15.620,0.76840439
15.621,0.76845190
15.622,0.76849724
15.623,0.76854452
15.624,0.76859353
15.625,0.76863897
15.626,0.76868383
15.627,0.76873114
15.628,0.76877918
15.629,0.76882686
15.630,0.76887340
15.631,0.76891994
15.632,0.76896617
15.633,0.76901237
15.634,0.76905976
15.635,0.76910641
15.636,0.76915248
15.637,0.76919988
15.638,0.76924659
15.639,0.76929480
15.640,0.76934210
15.641,0.76938811
15.642,0.76943506
15.643,0.76948123
15.644,0.76952841
15.645,0.76957502
15.646,0.76962204
15.647,0.76966825
15.648,0.76971408
15.649,0.76976018
15.650,0.76980753
15.651,0.76985310
15.652,0.76989987
15.653,0.76994760
15.654,0.76999291
15.655,0.77003989
15.656,0.77008757
15.657,0.77013441
15.658,0.77018190
15.659,0.77022778
15.660,0.77027499
15.661,0.77032251
15.662,0.77037013
15.663,0.77041887
15.664,0.77046663
15.665,0.77051492
15.666,0.77056133
15.667,0.77060872
15.668,0.77065331
15.669,0.77070056
15.670,0.77074487
15.671,0.77079328
15.672,0.77084091
15.673,0.77088702
15.674,0.77093407
15.675,0.77098193
15.676,0.77102898
15.677,0.77107592
15.678,0.77112220
15.679,0.77117012
15.680,0.77121836
15.681,0.77126738
15.682,0.77131543
15.683,0.77136198
15.684,0.77140802
15.685,0.77145500
15.686,0.77150275
15.687,0.77154940
15.688,0.77159477
15.689,0.77164068
15.690,0.77168795
15.691,0.77173668
15.692,0.77178409
15.693,0.77183017
15.694,0.77187946
15.695,0.77192699
15.696,0.77197285
15.697,0.77202109
15.698,0.77206844
15.699,0.77211613
15.700,0.77216138
15.701,0.77220858
15.702,0.77225472
15.703,0.77230095
15.704,0.77234865
15.705,0.77239602
15.706,0.77244069
15.707,0.77248831
15.708,0.77253350
15.709,0.77258020
15.710,0.77262706
15.711,0.77267306
15.712,0.77271959
15.713,0.77276704
15.714,0.77281287
15.715,0.77285962
15.716,0.77290720
15.717,0.77295436
15.718,0.77300042
15.719,0.77304668
15.720,0.77309348
15.721,0.77314021
15.722,0.77318782
15.723,0.77323429
15.724,0.77327985
15.725,0.77332501
15.726,0.77337115
15.727,0.77341821
15.728,0.77346489
15.729,0.77351062
15.730,0.77355963
15.731,0.77360787
15.732,0.77365413
15.733,0.77370164
15.734,0.77374796
15.735,0.77379505
15.736,0.77384360
15.737,0.77389010
15.738,0.77393607
15.739,0.77398378
15.740,0.77403045
15.741,0.77407786
15.742,0.77412413
15.743,0.77417210
15.744,0.77421768
15.745,0.77426483
15.746,0.77431310
15.747,0.77435924
15.748,0.77440743
15.749,0.77445443
15.750,0.77450210
15.751,0.77454912
15.752,0.77459428
15.753,0.77464116
15.754,0.77468933
15.755,0.77473655
15.756,0.77478375
15.757,0.77482960
15.758,0.77487568
15.759,0.77492252
15.760,0.77496947
15.761,0.77501626
15.762,0.77506360
15.763,0.77511130
15.764,0.77515970
15.765,0.77520672
15.766,0.77525643
15.767,0.77530498
15.768,0.77535219
15.769,0.77539942
15.770,0.77544614
15.771,0.77549261
15.772,0.77554068
15.773,0.77558821
15.774,0.77563462
15.775,0.77568069
15.776,0.77572706
15.777,0.77577433
15.778,0.77582245
15.779,0.77586763
15.780,0.77591504
15.781,0.77596256
15.782,0.77600739
15.783,0.77605381
15.784,0.77610128
15.785,0.77614698
15.786,0.77619313
15.787,0.77624140
15.788,0.77628719
15.789,0.77633282
15.790,0.77637916
15.791,0.77642649
15.792,0.77647273
15.793,0.77651938
15.794,0.77656435
15.795,0.77661014
15.796,0.77665709
15.797,0.77670571
15.798,0.77675216
15.799,0.77679938
15.800,0.77684886
15.801,0.77689656
15.802,0.77694357
15.803,0.77699145
15.804,0.77703789
15.805,0.77708496
15.806,0.77713179
15.807,0.77717975
15.808,0.77722734
15.809,0.77727239
15.810,0.77731913
15.811,0.77736869
15.812,0.77741356
15.813,0.77746185
15.814,0.77750982
15.815,0.77755648
15.816,0.77760299
15.817,0.77765007
15.818,0.77769707
15.819,0.77774560
15.820,0.77779173
15.821,0.77783847
15.822,0.77788512
15.823,0.77793223
15.824,0.77798043
15.825,0.77802867
15.826,0.77807531
15.827,0.77812171
15.828,0.77816762
15.829,0.77821556
15.830,0.77826237
15.831,0.77831025
15.832,0.77835775
15.833,0.77840386
15.834,0.77845121
15.835,0.77849923
15.836,0.77854617
15.837,0.77859340
15.838,0.77864045
15.839,0.77868764
15.840,0.77873409
15.841,0.77878092
15.842,0.77882839
15.843,0.77887611
15.844,0.77892411
15.845,0.77897079
15.846,0.77901838
15.847,0.77906577
15.848,0.77911240
15.849,0.77915891
15.850,0.77920774
15.851,0.77925497
15.852,0.77930421
15.853,0.77935189
15.854,0.77939731
15.855,0.77944603
15.856,0.77949276
15.857,0.77953940
15.858,0.77958684
15.859,0.77963217
15.860,0.77967850
15.861,0.77972652
15.862,0.77977266
15.863,0.77981808
15.864,0.77986480
15.865,0.77991348
15.866,0.77996152
15.867,0.78000949
15.868,0.78005726
15.869,0.78010451
15.870,0.78015087
15.871,0.78019797
15.872,0.78024582
15.873,0.78029283
15.874,0.78033973
15.875,0.78038794
15.876,0.78043473
15.877,0.78047990
15.878,0.78052895
15.879,0.78057590
15.880,0.78062358
15.881,0.78067121
15.882,0.78071758
15.883,0.78076446
15.884,0.78081081
15.885,0.78085512
15.886,0.78090126
15.887,0.78094760
15.888,0.78099389
15.889,0.78104117
15.890,0.78108878
15.891,0.78113632
15.892,0.78118315
15.893,0.78122979
15.894,0.78127852
15.895,0.78132492
15.896,0.78137114
15.897,0.78141827
15.898,0.78146619
15.899,0.78151322
15.900,0.78155865
15.901,0.78160455
15.902,0.78165055
15.903,0.78169661
15.904,0.78174108
15.905,0.78178858
15.906,0.78183494
15.907,0.78188350
15.908,0.78193211
15.909,0.78197947
15.910,0.78202878
15.911,0.78207769
15.912,0.78212606
15.913,0.78217405
15.914,0.78222126
15.915,0.78226719
15.916,0.78231638
15.917,0.78236238
15.918,0.78240950
15.919,0.78245629
15.920,0.78250317
15.921,0.78255049
15.922,0.78259614
15.923,0.78264276
15.924,0.78269046
15.925,0.78273792
15.926,0.78278512
15.927,0.78283115
15.928,0.78287807
15.929,0.78292449
15.930,0.78297052
15.931,0.78301649
15.932,0.78306425
15.933,0.78311113
15.934,0.78315656
15.935,0.78320259
15.936,0.78324955
15.937,0.78329698
15.938,0.78334462
15.939,0.78339132
15.940,0.78343785
15.941,0.78348388
15.942,0.78353232
15.943,0.78357812
15.944,0.78362463
15.945,0.78367219
15.946,0.78371889
15.947,0.78376495
15.948,0.78381117
15.949,0.78385971
15.950,0.78390594
15.951,0.78395284
15.952,0.78400018
15.953,0.78404675
15.954,0.78409451
15.955,0.78414241
15.956,0.78418871
15.957,0.78423630
15.958,0.78428420
15.959,0.78433166
15.960,0.78437895
15.961,0.78442626
15.962,0.78447313
15.963,0.78451966
15.964,0.78456594
15.965,0.78461313
15.966,0.78466038
15.967,0.78470436
15.968,0.78475200
15.969,0.78479749
15.970,0.78484526
15.971,0.78489249
15.972,0.78493890
15.973,0.78498621
15.974,0.78503516
15.975,0.78508403
15.976,0.78513028
15.977,0.78517631
15.978,0.78522240
15.979,0.78526970
15.980,0.78531606
15.981,0.78536085
15.982,0.78540691
15.983,0.78545524
15.984,0.78550127
15.985,0.78554989
15.986,0.78559483
15.987,0.78564267
15.988,0.78568840
15.989,0.78573677
15.990,0.78578288
15.991,0.78582893
15.992,0.78587599
15.993,0.78592287
15.994,0.78597076
15.995,0.78601804
15.996,0.78606384
15.997,0.78610926
15.998,0.78615723
15.999,0.78620408
16.000,0.78625144
16.001,0.78629764
16.002,0.78634378
16.003,0.78639170
16.004,0.78643978
16.005,0.78648864
16.006,0.78653579
16.007,0.78658195
16.008,0.78662687
16.009,0.78667429
16.010,0.78672178
16.011,0.78677017
16.012,0.78681777
16.013,0.78686538
16.014,0.78691178
16.015,0.78696364
16.016,0.78701408
16.017,0.78706464
16.018,0.78711619
16.019,0.78716815
16.020,0.78722046
16.021,0.78727156
16.022,0.78732392
16.023,0.78737514
16.024,0.78742449
16.025,0.78747444
16.026,0.78752670
16.027,0.78757883
16.028,0.78762883
16.029,0.78768025
16.030,0.78773114
16.031,0.78778164
16.032,0.78783282
16.033,0.78788277
16.034,0.78793207
16.035,0.78798102
16.036,0.78803242
16.037,0.78808360
16.038,0.78813586
16.039,0.78818677
16.040,0.78823994
16.041,0.78829119
16.042,0.78834126
16.043,0.78839478
16.044,0.78844695
16.045,0.78849695
16.046,0.78854757
16.047,0.78859930
16.048,0.78865119
16.049,0.78870095
16.050,0.78875288
16.051,0.78880460
16.052,0.78885680
16.053,0.78890679
16.054,0.78895703
16.055,0.78900876
16.056,0.78905971
16.057,0.78911194
16.058,0.78916366
16.059,0.78921515
16.060,0.78926520
16.061,0.78931529
16.062,0.78936663
16.063,0.78941708
16.064,0.78946806
16.065,0.78951949
16.066,0.78957079
16.067,0.78962096
16.068,0.78967186
16.069,0.78972261
16.070,0.78977392
16.071,0.78982533
16.072,0.78987606
16.073,0.78992768
16.074,0.78997952
16.075,0.79003033
16.076,0.79007878
16.077,0.79012812
16.078,0.79017872
16.079,0.79023066
16.080,0.79028145
16.081,0.79033262
16.082,0.79038236
16.083,0.79043326
16.084,0.79048382
16.085,0.79053441
16.086,0.79058474
16.087,0.79063543
16.088,0.79068532
16.089,0.79073615
16.090,0.79078532
16.091,0.79083787
16.092,0.79088906
16.093,0.79093991
16.094,0.79098993
16.095,0.79103927
16.096,0.79108832
16.097,0.79113959
16.098,0.79119114
16.099,0.79123880
16.100,0.79129016
16.101,0.79134277
16.102,0.79139274
16.103,0.79144297
16.104,0.79149497
16.105,0.79154765
16.106,0.79159985
16.107,0.79165165
16.108,0.79170165
16.109,0.79175260
16.110,0.79180313
16.111,0.79185304
16.112,0.79190334
16.113,0.79195558
16.114,0.79200625
16.115,0.79205821
16.116,0.79210855
16.117,0.79215866
16.118,0.79221014
16.119,0.79226104
16.120,0.79231270
16.121,0.79236249
16.122,0.79241245
16.123,0.79246452
16.124,0.79251439
16.125,0.79256673
16.126,0.79261775
16.127,0.79266817
16.128,0.79271950
16.129,0.79276964
16.130,0.79281990
16.131,0.79287204
16.132,0.79292240
16.133,0.79297431
16.134,0.79302706
16.135,0.79307919
16.136,0.79312857
16.137,0.79317988
16.138,0.79323160
16.139,0.79328350
16.140,0.79333456
16.141,0.79338540
16.142,0.79343542
16.143,0.79348714
16.144,0.79354092
16.145,0.79359127
16.146,0.79363992
16.147,0.79369181
16.148,0.79374090
16.149,0.79379155
16.150,0.79384152
16.151,0.79389351
16.152,0.79394349
16.153,0.79399556
